"0:00:00","Test Track","0"
"0:50:00","Opening Medley","3000"
"1:40:00","Garden of Eden","6000"
"1:50:00","Poker Face","6600"
"2:00:00","Perfect Celebrity","7200"
"2:10:00","Paparazzi","7800"
,"Alejandro","0"
"2:20:00","Disease","8400"
"2:30:00","Heavy Metal Lover","9000"
"2:40:00","Love Game","9600"
,"Killah","0"
"4:00:00","Zombieboy","14400"
"3:30:00","LoveDrug","12600"
"6:10:00","Applause","22200"
"4:10:00","Shadow of a Man","15000"
,"Kill For Love","0"
"4:30:00","The Beast","16200"
"4:50:00","Shallow","17400"
"5:10:00","Marry The Night","18600"
"5:20:00","Blade of Grass","19200"
"5:00:00","Born This Way","18000"
"5:50:00","How Bad Do You Want Me","21000"
"5:30:00","Vanish Into You","19800"
"5:40:00","Die With A Smile","20400"
"6:20:00","Interlude 01","22800"
"2:57:41","Bad Romance","10661"
,"Interlude 02","0"
